Event,,Lat ( ° ),Lon ( ° ),Depth (km),Local Magnitude,Moment magnitude,Seismic moment (Nm),No. EGF,P-wave measurements,,,S-wave measurements,,
,,,,,,,,,Stations,Corner frequecy (Hz), Stress Drop (MPa),Stations, Corner frequecy (Hz),Stress Drops (MPa)
,20120612102927,-43.466,170.407,8.1,2.2,,2.00E+12,61,8,33.8,24.5,9,30.5,33.4
,20120612215855,-43.113,170.844,11.4,3.2,,6.31E+13,11,4,17.4,105.8,4,17.4,196.9
,20121123232919,-43.495,170.332,7.5,2.0,,1.00E+12,240,7,52.9,47.0,9,26.9,11.5
,20130321121346,-43.446,170.383,8.7,2.9,,2.24E+13,107,7,24.1,99.9,,,
,20140303145826,-43.486,170.318,11.1,2.2,,2.00E+12,90,7,45.6,60.0,8,45.8,113.3
,20140325141913,-43.506,170.351,10.1,2.4,,3.98E+12,237,9,46.5,127.1,9,34.8,98.9
,20140429194736,-43.429,170.476,7.4,2.0,,1.00E+12,20,7,19.9,2.5,7,19.9,4.7
,20140510232920,-43.455,170.316,6.6,2.4,,3.98E+12,105,6,23.5,16.4,8,23.7,31.3
,20140522182538,-43.456,170.319,6.8,2.5,,5.62E+12,128,7,21.5,17.8,6,27.5,69.3
,20140714220022,-43.458,170.324,7.4,2,,1.00E+12,72,4,14.3,0.9,,,
,20140730072357,-43.307,170.813,11.9,2.6,,7.94E+12,47,,,,3,14.2,13.3
,20150216203848,-43.525,170.138,8.2,2.7,,1.12E+13,95,,,,8,27.1,132.0
,20150405151709,-43.45,170.274,6.9,2.0,,1.00E+12,31,12,55.4,53.7,,,
,20150414073741,-43.458,170.346,8.3,2.5,,5.62E+12,125,13,37.7,95.7,14,34.6,137.7
,20150513001013,-43.506,170.279,6.9,2.2,,2.00E+12,258,11,45.5,59.7,,,
,20150517161908,-43.48,170.077,6.9,2.7,,1.12E+13,121,7,13.4,8.6,10.0,15.5,24.6
,20150530185611,-43.482,170.068,7.8,3.5,,1.78E+14,124,,,,13.0,9.9,101.1
,20150602085829,-43.482,170.065,7.7,2.6,,7.94E+12,114,10,30.9,74.0,13.0,19.5,34.9
,20150602184317,-43.487,170.061,7.3,2.6,,7.94E+12,85,6,16.7,11.6,,,
,20150607054359,-43.484,170.074,6.8,2.1,,1.41E+12,83,,,,9.0,28.8,19.9
,20150612000439,-43.484,170.062,8.3,2.4,,3.98E+12,101,9,22.1,13.7,10.0,15.2,8.3
,20150612023807,-43.236,170.895,11.8,2.7,,1.12E+13,31,6,13.3,8.4,5.0,13.7,17.0
,20150612123501,-43.481,170.056,8.2,3.0,,3.16E+13,112,11,25.6,168.0,14.0,10.7,22.7
,20150618050235,-43.485,170.06,8.4,2.2,,2.00E+12,90,8,35.3,27.9,9.0,30.2,32.5
,20150618100310,-43.48,170.071,5.8,2.4,,3.98E+12,103,6,19.8,9.8,10.0,19.6,17.7
,20151027082315,-43.458,170.393,10.4,2.1,,1.41E+12,60,11,61.5,104.2,,,
,20160116052350,-43.325,170.378,8.0,2.2,,2.00E+12,62,9,32.6,21.8,13.0,12.0,2.1
,20160204233123,-43.322,170.377,9.7,2.0,,1.00E+12,45,6,25.0,5.0,9.0,38.4,33.6
,20160204233806,-43.328,170.368,5.7,2.6,,7.94E+12,65,7,24.1,35.4,8.0,15.8,18.5
,20160214100922,-43.486,170.266,7.2,2.3,,2.82E+12,224,,,,13.0,24.5,24.4
,20160221084509,-43.537,169.936,11.1,3.5,,1.78E+14,33,,,,10.0,4.9,12.6
,20160521161657,-43.408,170.503,11.3,2.4,,3.98E+12,23,8,28.8,30.0,,,
,20160528230343,-43.744,169.545,14.1,3.6,,2.51E+14,17,,,,9.0,9.5,125.5
,20160606021359,-43.498,170.281,11.6,2.5,,5.62E+12,74,12,19.5,13.1,13.0,16.1,13.7
