id,qlat,qlon,qyr,qmon,qdy,qhr,qmn,qsc,ml,qdep,name
959,-42.854,171.409,2019,10,19,17,50,55,0.3516598681451162,8.1,20191019175055
960,-42.967,171.5,2019,08,24,12,06,01,0.45169950110878304,9.1,20190824120601
961,-42.75,171.725,2020,03,08,01,50,51,0.8272737548001049,12.7,20200308015051
962,-42.59,171.79,2019,12,31,20,04,20,0.18473913595503852,10.5,20191231200420
963,-42.747,171.727,2019,05,26,07,09,44,0.4046092017264288,9.9,20190526070944
964,-42.925,171.644,2019,12,06,06,54,24,0.8725827517670711,12.5,20191206065424
965,-42.748,171.79,2019,05,24,05,51,34,0.6576061128420627,11.9,20190524055134
966,-42.733,171.3,2019,05,13,19,25,13,0.7546916662126845,5.4,20190513192513
967,-42.893,171.604,2019,06,26,08,14,01,0.7153791915578915,8.8,20190626081401
968,-42.754,171.725,2020,01,28,03,29,21,0.9225990082166775,9.9,20200128032921
969,-42.734,171.673,2020,02,04,00,33,49,0.9769055823097929,11.9,20200204003349
970,-42.956,171.807,2019,11,21,07,15,17,1.3611266225768563,13.0,20191121071517
971,-42.508,171.601,2019,12,15,12,14,58,2.387025152021641,15.8,20191215121458
972,-42.769,171.475,2020,01,07,03,19,53,1.0295466471290473,10.5,20200107031953
973,-42.784,171.487,2019,07,09,12,42,48,-0.2501172568072093,4.3,20190709124248
974,-42.725,171.712,2019,06,14,09,21,03,0.10606409237203278,8.2,20190614092103
975,-42.762,171.703,2019,07,10,19,35,29,0.6729916531788983,10.8,20190710193529
976,-42.821,171.611,2020,02,18,05,28,51,1.4075974423356878,6.9,20200218052851
977,-42.745,171.775,2019,12,10,15,29,57,0.5930669080568532,12.8,20191210152957
978,-42.661,171.671,2020,01,22,08,41,57,0.2618636369896076,11.9,20200122084157
979,-42.726,171.759,2020,02,26,20,21,58,1.241227179273412,9.6,20200226202158
980,-42.776,171.669,2019,07,24,05,35,26,0.9159355767705882,9.7,20190724053526
981,-42.768,171.665,2020,02,09,02,18,06,2.7650279750814266,7.8,20200209021806
982,-42.67,171.74,2019,07,03,14,39,06,0.6923986943031643,12.5,20190703143906
983,-42.706,171.374,2019,09,24,14,58,01,0.63722731888492,15.8,20190924145801
984,-42.889,171.673,2019,12,24,01,54,26,0.6184616175612013,10.8,20191224015426
985,-42.778,171.724,2019,12,15,21,11,49,0.6995170619594266,12.0,20191215211149
986,-42.739,171.674,2019,12,30,11,42,44,0.07701426454371632,3.2,20191230114244
987,-42.755,171.669,2019,10,20,09,42,51,0.5858084067337964,9.8,20191020094251
988,-42.677,171.728,2020,03,04,16,28,51,1.2173957458599989,9.0,20200304162851
989,-42.87,171.64,2019,11,08,21,31,20,1.162939482733928,12.4,20191108213120
990,-42.903,171.602,2020,02,16,23,37,19,2.12720649457595,8.8,20200216233719
991,-42.767,171.552,2019,10,23,13,23,40,0.15808775695576133,0.8,20191023132340
992,-42.707,171.381,2019,09,24,11,05,37,1.2713433982997162,15.8,20190924110537
993,-42.935,171.857,2019,12,17,22,47,13,1.2188114572918742,23.1,20191217224713
994,-42.794,171.63,2019,12,18,16,16,49,0.32327826996215053,10.0,20191218161649
995,-42.663,171.879,2019,06,12,04,52,38,0.5558698328916482,14.7,20190612045238
996,-42.674,171.851,2019,06,30,00,04,25,0.2619763067005086,11.6,20190630000425
997,-42.76,171.943,2019,06,14,23,00,52,0.7754151040058676,13.2,20190614230052
998,-42.741,171.807,2019,07,08,00,02,03,0.13404476944120927,7.8,20190708000203
999,-42.62,171.85,2019,07,10,13,43,28,0.7217177379229,11.6,20190710134328
1000,-42.748,171.475,2019,06,08,03,32,46,1.2150048382211245,8.1,20190608033246
1001,-42.823,171.46,2019,07,12,19,57,02,0.5783133540340566,8.6,20190712195702
1002,-42.803,171.613,2019,06,01,16,16,00,0.3562101641976276,10.2,20190601161600
1003,-42.722,171.755,2019,07,20,10,52,51,0.5654610264741197,8.6,20190720105251
1004,-42.876,171.625,2019,07,31,15,26,57,0.9652863419114881,11.6,20190731152657
1005,-42.825,171.788,2020,01,17,12,24,21,0.35452981470210265,14.2,20200117122421
1006,-42.883,171.798,2019,05,27,12,08,02,1.281576761906304,12.5,20190527120802
1007,-42.794,171.61,2019,08,05,17,16,28,0.322308588177206,8.8,20190805171628
1008,-42.709,171.522,2020,01,26,04,30,59,0.077929793336785,4.7,20200126043059
1009,-42.811,171.663,2019,11,06,06,17,47,0.8934061072780891,8.1,20191106061747
1010,-42.815,171.675,2020,03,05,16,45,42,0.5575941628420684,7.8,20200305164542
1011,-42.685,171.881,2019,11,01,16,39,56,0.35179950358185325,10.4,20191101163956
1012,-42.762,171.774,2019,08,18,01,14,03,0.48640266114500336,7.3,20190818011403
1013,-42.831,171.815,2019,11,01,18,56,49,0.3698484538408028,14.6,20191101185649
1014,-42.759,171.764,2020,01,01,09,42,20,0.2112232216596254,7.8,20200101094220
1015,-42.75,171.662,2019,06,11,18,58,27,1.421496163192136,11.7,20190611185827
1016,-42.875,171.633,2019,07,31,20,05,28,1.094348487940368,8.8,20190731200528
1017,-42.851,171.598,2019,11,18,19,49,40,0.9303969210329353,12.2,20191118194940
1018,-42.952,171.616,2019,07,20,23,17,58,0.646780340206092,6.9,20190720231758
1019,-42.815,171.67,2019,10,25,08,15,38,0.7556035455998201,8.0,20191025081538
1020,-42.9,171.621,2020,02,27,00,03,10,1.4153986316217977,11.8,20200227000310
1021,-42.706,171.374,2019,09,24,09,18,44,4.183417767571012,15.7,20190924091844
1022,-42.68,171.877,2020,01,09,02,48,44,0.8532806913865358,10.0,20200109024844
1023,-42.697,171.698,2019,09,09,21,34,04,0.5393661994989233,9.0,20190909213404
1024,-42.696,171.662,2019,10,25,11,49,22,0.0790330594451949,11.4,20191025114922
1025,-42.904,171.711,2019,08,25,04,50,00,1.3645974540419228,10.2,20190825045000
1026,-42.708,171.72,2020,03,05,22,45,56,1.0529567573248857,13.6,20200305224556
1027,-42.811,171.658,2019,12,14,23,35,54,0.6975019233570674,7.7,20191214233554
1028,-42.731,171.739,2019,07,24,13,48,13,0.46119283266778727,8.3,20190724134813
1029,-42.746,171.714,2019,06,13,06,21,25,0.3651356750540077,10.8,20190613062125
1030,-42.762,171.751,2019,09,24,04,45,18,1.3947981559140081,8.5,20190924044518
1031,-42.864,171.619,2019,08,01,00,39,18,0.593224747230331,9.5,20190801003918
1032,-42.706,171.373,2019,09,24,11,24,25,1.2170154045978119,15.8,20190924112425
1033,-42.754,171.797,2019,08,07,14,51,05,0.5760730049433151,10.4,20190807145105
1034,-42.919,171.808,2019,10,23,09,27,14,0.9096084765872271,15.5,20191023092714
1035,-42.683,171.809,2020,01,08,18,12,16,0.1306354895182814,11.4,20200108181216
1036,-42.743,171.715,2020,03,01,19,50,56,1.440628739025104,9.4,20200301195056
1037,-42.921,171.832,2019,08,31,21,47,44,1.299629331901397,13.9,20190831214744
1038,-42.772,171.67,2020,01,16,09,05,26,1.610389305959799,7.9,20200116090526
1039,-42.725,171.706,2019,05,08,08,38,13,0.31825078342700186,10.7,20190508083813
1040,-42.743,171.741,2019,06,09,01,14,01,1.3844780342198502,6.0,20190609011401
1041,-42.783,171.683,2019,08,30,23,15,05,0.3078118788180326,5.2,20190830231505
1042,-42.658,171.974,2019,05,04,15,18,14,1.283721036612178,10.6,20190504151814
1043,-42.913,171.836,2019,08,10,14,14,48,0.9878594756492151,4.1,20190810141448
1044,-42.989,171.864,2020,01,26,07,01,45,2.368843603553502,10.1,20200126070145
